## BEGIN HEADER,,,,,,,,,,,,
#,,,,,,,,,,,,
##------------------------------------------------------------------------------,,,,,,,,,,,,
## Origin Section - more information in Metadata file or Oceans 2.0,,,,,,,,,,,,
##------------------------------------------------------------------------------,,,,,,,,,,,,
"#SOURCE:   ""Ocean Networks Canada Data Archive""  / Citation Author",,,,,,,,,,,,
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site,,,,,,,,,,,,
"#HOME:     ""University of Victoria"," Canada""      / Citation Publication Location",,,,,,,,,,,
#FLDATE:    2019-03-09T04:59:41.472Z  / File Creation Date = Date for Citation,,,,,,,,,,,,
"#CITATION: ""Ocean Networks Canada Data Archive", http://www.oceannetworks.ca, ADCP 2 MHz data from 8-9 Mar 2019, University of Victoria, Canada," Downloaded on 9 Mar 2019""  / Citation Title",,,,,,,
#METADATF:  BarkleyCanyon_Axis_ADCP2MHz_20190308T045900Z_20190309T045850Z-NaN_CSV_META.pdf  / Metadata file name,,,,,,,,,,,,
#SEARCHID:  8493402                              / DMAS Search ID from Oceans2.0,,,,,,,,,,,,
#,,,,,,,,,,,,
##------------------------------------------------------------------------------,,,,,,,,,,,,
## Location Section - more information in Metadata file or Oceans 2.0,,,,,,,,,,,,
##------------------------------------------------------------------------------,,,,,,,,,,,,
#STNNAME:   OceanNetworksCanada-Pacific-NortheastPacificOcean-BarkleyCanyon-Axis  / Station Name ,,,,,,,,,,,,
#STNCODE:   BACAX                                / Station Code ,,,,,,,,,,,,
#LATITUDE:     48.316713                         / Latitude North,,,,,,,,,,,,
#LONGITUDE:  -126.050664                         / Longitude East,,,,,,,,,,,,
#DEPTH:       985.0                              / Depth (m),,,,,,,,,,,,
#,,,,,,,,,,,,
##------------------------------------------------------------------------------,,,,,,,,,,,,
## Device Section - more information in Metadata file or Oceans 2.0,,,,,,,,,,,,
##------------------------------------------------------------------------------,,,,,,,,,,,,
#DEVCAT: ADCP 2 MHz                              / Device Category,,,,,,,,,,,,
#DEVTOT:    1  / Total number of Device Deployments contributing to data,,,,,,,,,,,,
#,,,,,,,,,,,,
#DEPLDATE1: 2019-03-08T04:58:51.000Z             / Device 1 Deployment Date,,,,,,,,,,,,
"#DEVNAME1: ""Nortek Aquadopp HR-Profiler 2965""    / Device Name of Device 1",,,,,,,,,,,,
#DEVCODE1:  BC_POD1_AD2M                         / Device Code of Device 1,,,,,,,,,,,,
#DEVID1:    11302                                / Device ID of Device 1,,,,,,,,,,,,
#,,,,,,,,,,,,
##------------------------------------------------------------------------------,,,,,,,,,,,,
## Data Section - more information in Metadata file or Oceans 2.0,,,,,,,,,,,,
##------------------------------------------------------------------------------,,,,,,,,,,,,
#DATEFROM:  2019-03-08T04:59:00.973Z             / Data Start Time,,,,,,,,,,,,
#DATETO:    2019-03-09T04:58:50.785Z             / Data End Time,,,,,,,,,,,,
#PERIODTOT: 1                                    / Number of Sample Periods,,,,,,,,,,,,
#PERIODST1: 2010-05-27T19:27:04.000Z             / Sample Period 1 Start Time,,,,,,,,,,,,
#PERIOD1:   10                                   / Sensor Sample Period 1 (s),,,,,,,,,,,,
"#RESAMPPRD: ""No resampling""                      / Resample Period (s)",,,,,,,,,,,,
"#RESAMPTYP: ""No resampling""                      / Resample Type",,,,,,,,,,,,
"#RESAMPMIN: ""No resampling""  / Minimum percent valid data per resample",,,,,,,,,,,,
"#RESAMPDCR: ""No resampling""                      / Resample Description",,,,,,,,,,,,
#TOTSAMPLE: 8640                                 / Samples in File,,,,,,,,,,,,
#TOTSMPEXP: 8639                                 / Samples expected,,,,,,,,,,,,
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) ,,,,,,,,,,,,
#DPOPTQC:   Raw  / Quality Control: Raw - All Data ,,,,,,,,,,,,
#QAREMARK:  None                                 / Quality Assurance Remarks,,,,,,,,,,,,
#,,,,,,,,,,,,
"#""QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good"," use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information.""",,,,,,,,,,,
"#""Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)"""," ""Magnetic Compass Heading (deg)"""," ""Magnetic Compass Heading QC Flag""  "," ""Pitch (deg)"""," ""Pitch QC Flag""  "," ""Pressure (decibar)"""," ""Pressure QC Flag""  "," ""Roll (deg)"""," ""Roll QC Flag""  "," ""Sound Speed (m/s)"""," ""Sound Speed QC Flag""  "," ""Temperature (C)"""," ""Temperature QC Flag""  "
## END HEADER,,,,,,,,,,,,
2019-03-08T04:59:00.973Z,10.2,0,1.7,1,989.5968968,0,-1.1,1,1463.9,0,3.61,1
2019-03-08T04:59:10.972Z,10.3,0,1.7,1,989.5694382,0,-1.2,1,1463.9,0,3.61,1
2019-03-08T04:59:20.971Z,10.5,0,1.7,1,989.5576702,0,-1.1,1,1463.9,0,3.61,1
2019-03-08T04:59:30.971Z,10.2,0,1.7,1,989.6067035,0,-1.2,1,1463.9,0,3.61,1
2019-03-08T04:59:40.971Z,10.3,0,1.7,1,989.5861095,0,-1.1,1,1463.9,0,3.61,1
2019-03-08T04:59:50.971Z,10.1,0,1.7,1,989.6498527,0,-1.1,1,1463.9,0,3.61,1
